gold,pred,time_sec,support,avg_time,var_time
χ,χ,0.110000,1.000000,0.110000,0.000000
χ,UNK,0.110000,1.000000,0.110000,0.000000
UNK,χ,0.110000,1.000000,0.110000,0.000000
a,h,0.026000,1.000000,0.026000,0.000000
i,h,0.027000,1.000000,0.027000,0.000000
s,a,0.007000,1.000000,0.007000,0.000000
b,i,0.009000,1.000000,0.009000,0.000000
b,d:,0.053000,1.000000,0.053000,0.000000
i:,UNK,0.100000,1.000000,0.100000,0.000000
b:,b:,0.160000,1.000000,0.160000,0.000000
b:,UNK,0.160000,1.000000,0.160000,0.000000
UNK,b:,0.160000,1.000000,0.160000,0.000000
g:,g:,0.140000,1.000000,0.140000,0.000000
g:,UNK,0.140000,1.000000,0.140000,0.000000
UNK,g:,0.140000,1.000000,0.140000,0.000000
ʁ,a,0.009000,1.000000,0.009000,0.000000
ʒ,d,0.044000,1.000000,0.044000,0.000000
ʃ,t,0.019000,1.000000,0.019000,0.000000
i,dˤ,0.028000,1.000000,0.028000,0.000000
